,Date,Position,artist,song,woc
0,03/28/2022,1,DAVE,STARLIGHT,3
1,03/28/2022,2,AITCH/ASHANTI,BABY,2
2,03/28/2022,3,FIREBOY DML &amp; ED SHEERAN,PERU,15
3,03/28/2022,4,LOST FREQUENCIES/CALUM SCOTT,WHERE ARE YOU NOW,24
4,03/28/2022,5,BELTERS ONLY FT JAZZY,MAKE ME FEEL GOOD,12
5,03/28/2022,6,LUUDE FT COLIN HAY,DOWN UNDER,12
6,03/28/2022,7,JAX JONES FT MNEK,WHERE DID YOU GO,7
7,03/28/2022,8,CAT BURNS,GO,10
8,03/28/2022,9,BAD BOY CHILLER CREW,BMW,9
9,03/28/2022,10,MIMI WEBB,HOUSE ON FIRE,5
10,03/28/2022,11,D-BLOCK EUROPE FT CENTRAL CEE,OVERSEAS,18
11,03/28/2022,12,GEORGE EZRA,ANYONE FOR YOU,8
12,03/28/2022,13,TIESTO &amp; AVA MAX,THE MOTTO,16
13,03/28/2022,14,A1 &amp; J1/TION WAYNE,NIGHT AWAY (DANCE),3
14,03/28/2022,15,GAITAN/CASTILLO/ADASSA/FELIZ,WE DON'T TALK ABOUT BRUNO,13
15,03/28/2022,16,CAMILA CABELLO FT ED SHEERAN,BAM BAM,3
16,03/28/2022,17,LIILZ FT ZIEZIE,GLAD U CAME,3
17,03/28/2022,18,RUSS MILLIONS/BUNI/YV,ONE OF A KIND MUSIC PTS REGGAE &amp; CALYPSO,6
18,03/28/2022,19,ED SHEERAN,BAD HABITS,35
19,03/28/2022,20,DOVE CAMERON,BOYFRIEND,6
20,03/28/2022,21,TATE MCRAE,SHE'S ALL I WANNA BE,7
21,03/28/2022,22,ARRDEE,COME &amp; GO,3
22,03/28/2022,23,GLASS ANIMALS,HEAT WAVES,71
23,03/28/2022,24,CHARLI XCX FT RINA SAWAYAMA,BEG FOR YOU,8
24,03/28/2022,25,BECKY HILL/GALANTIS,RUN,4
25,03/28/2022,26,ADELE,OH MY GOD,18
26,03/28/2022,27,SAM FENDER,SEVENTEEN GOING UNDER,36
27,03/28/2022,28,ED SHEERAN,SHIVERS,28
28,03/28/2022,29,EM BEIHOLD,NUMB LITTLE BUG,8
29,03/28/2022,30,ED SHEERAN,THE JOKER AND THE QUEEN,6
30,03/28/2022,31,JOEL CORRY/DAVID GUETTA/TILLER,WHAT WOULD YOU DO,1
31,03/28/2022,32,ACRAZE FT CHERISH,DO IT TO IT,21
32,03/28/2022,33,WILKINSON &amp; ISSEY CROSS,USED TO THIS,10
33,03/28/2022,34,CHARLIE PUTH,LIGHT SWITCH,9
34,03/28/2022,35,ARRDEE &amp; AITCH,WAR,7
35,03/28/2022,36,GAYLE,ABCDEFU,19
36,03/28/2022,37,DIGGA D/STILL BRICKIN',PUMP 101,9
37,03/28/2022,38,ELTON JOHN &amp; DUA LIPA,COLD HEART,32
38,03/28/2022,39,MACHINE GUN KELLY/BRING ME THE,MAYBE,1
39,03/28/2022,40,GUERRERO/BEATRIZ,WHAT ELSE CAN I DO,3
40,03/28/2022,41,ARRDEE,EARLY HOURS,1
41,03/28/2022,42,SIGALA,MELODY,9
42,03/28/2022,43,MEGAN THEE STALLION &amp; DUA LIPA,SWEETEST PIE,2
43,03/28/2022,44,ADELE,EASY ON ME,23
44,03/28/2022,45,JESSICA DARROW,SURFACE PRESSURE,13
45,03/28/2022,46,KID LAROI &amp; JUSTIN BIEBER,STAY,37
46,03/28/2022,47,TYGA &amp; DOJA CAT,FREAKY DEAKY,4
47,03/28/2022,48,BOYWITHUKE FT BLACKBEAR,IDGAF,1
48,03/28/2022,49,RUTH B,DANDELIONS,9
49,03/28/2022,50,MABEL/JAX JONES/GALANTIS,GOOD LUCK,1
50,03/28/2022,51,DOD &amp; CARLA MONROE,STILL SLEEPLESS,10
51,03/28/2022,52,ELLA HENDERSON,BRAVE,10
52,03/28/2022,53,ELLEY DUHE,MIDDLE OF THE NIGHT,8
53,03/28/2022,54,LAUREN SPENCER-SMITH,FINGERS CROSSED,12
54,03/28/2022,55,TION WAYNE &amp; M24,KNOCK KNOCK,5
55,03/28/2022,56,POTTER PAYPER/TIGGS DA AUTHOR,GANGSTERITUS,1
56,03/28/2022,57,JNR CHOI &amp; SAM TOMPKINS,TO THE MOON,11
57,03/28/2022,58,ALESSO/KATY PERRY,WHEN I'M GONE,12
58,03/28/2022,59,SWITCHOTR FT A1 &amp; J1,COMING FOR YOU,21
59,03/28/2022,60,JUSTIN BIEBER,GHOST,24
60,03/28/2022,61,PHEELZ &amp; BUJU,FINESSE,3
61,03/28/2022,62,WEEKND,SAVE YOUR TEARS,59
62,03/28/2022,63,ANNENMAYKANTEREIT/GIANT ROOKS,TOM'S DINER,1
63,03/28/2022,64,IMAGINE DRAGONS/JID/LEAGUE OF,ENEMY,19
64,03/28/2022,65,DAVE FT STORMZY,CLASH,30
65,03/28/2022,66,LIL MACKS,OSLO,1
66,03/28/2022,67,OLIVIA RODRIGO,GOOD 4 U,45
67,03/28/2022,68,D-BLOCK EUROPE FT AJ TRACEY,MAKE YOU SMILE,16
68,03/28/2022,69,KILLERS,MR BRIGHTSIDE,307
69,03/28/2022,70,CHARLI XCX,USED TO KNOW ME,1
70,03/28/2022,71,REGARD/YEARS &amp; YEARS,HALLUCINATION,5
71,03/28/2022,72,FLORENCE &amp; THE MACHINE,MY LOVE,2
72,03/28/2022,73,BECKY HILL &amp; DAVID GUETTA,REMEMBER,36
73,03/28/2022,74,GRIFF &amp; SIGRID,HEAD ON FIRE,9
74,03/28/2022,75,DUA LIPA,LEVITATING,77
75,03/28/2022,76,DAVE FT BURNA BOY,LOCATION,61
76,03/28/2022,77,4 TOWN,NOBODY LIKE U,1
77,03/28/2022,78,YEARS &amp; YEARS/GALANTIS,SWEET TALKER,13
78,03/28/2022,79,WILKINSON &amp; BECKY HILL,HERE FOR YOU,6
79,03/28/2022,80,LIL NAS X,THATS WHAT I WANT,24
80,03/28/2022,81,WEEKND,BLINDING LIGHTS,113
81,03/28/2022,82,LABRINTH,MOUNT EVEREST,6
82,03/28/2022,83,DIPLO &amp; MIGUEL,DON'T FORGET MY LOVE,3
83,03/28/2022,84,DOJA CAT,GET INTO IT (YUH),17
84,03/28/2022,85,TOM ODELL,ANOTHER LOVE,40
85,03/28/2022,86,CENTRAL CEE,STRAIGHT BACK TO IT,4
86,03/28/2022,87,FRANK OCEAN,LOST,13
87,03/28/2022,88,HAZEY,PACKS AND POTIONS,10
88,03/28/2022,89,DOJA CAT,WOMAN,31
89,03/28/2022,90,LABRINTH,ALL FOR US,9
90,03/28/2022,91,CKAY,LOVE NWANTITI (AH AH AH),28
91,03/28/2022,92,JOEL CORRY FT MABEL,I WISH,21
92,03/28/2022,93,M HUNCHO FT GIGGS,LEAN,1
93,03/28/2022,94,LUCKY DAYE,OVER,1
94,03/28/2022,95,IMAGINE DRAGONS,BONES,2
95,03/28/2022,96,BECKY HILL &amp; TOPIC,MY HEART GOES (LA DI DA),29
96,03/28/2022,97,TOM GRENNAN,REMIND ME,1
97,03/28/2022,98,STRAY KIDS,MANIAC,1
98,03/28/2022,99,PHARRELL WILLIAMS,JUST A CLOUD AWAY,1
99,03/28/2022,100,CENTRAL CEE,RETAIL THERAPY,11
0,03/28/2021,1,NATHAN EVANS/220KID/BILLEN TED,WELLERMAN,9
1,03/28/2021,2,A1 &amp; J1,LATEST TRENDS,7
2,03/28/2021,3,JUSTIN BIEBER/CAESAR/GIVEON,PEACHES,1
3,03/28/2021,4,RITON/NIGHTCRAWLERS/MUFASA,FRIDAY,10
4,03/28/2021,5,TIESTO,THE BUSINESS,19
5,03/28/2021,6,JOEL CORRY/RAYE/DAVID GUETTA,BED,4
6,03/28/2021,7,KSI FT YUNGBLUD &amp; POLO G,PATIENCE,2
7,03/28/2021,8,ANNE-MARIE/KSI/DIGITAL FARM,DON'T PLAY,10
8,03/28/2021,9,LIL TJAY &amp; 6LACK,CALLING MY PHONE,6
9,03/28/2021,10,JUSTIN BIEBER,HOLD ON,3
10,03/28/2021,11,CENTRAL CEE,COMMITMENT ISSUES,6
11,03/28/2021,12,ATB/TOPIC/A7S,YOUR LOVE (9PM),9
12,03/28/2021,13,TOM GRENNAN,LITTLE BIT OF LOVE,8
13,03/28/2021,14,TRAVIS SCOTT &amp; HVME,GOOSEBUMPS,12
14,03/28/2021,15,WEEKND,SAVE YOUR TEARS,11
15,03/28/2021,16,DOJA CAT,STREETS,11
16,03/28/2021,17,CARDI B,UP,7
17,03/28/2021,18,AVA MAX,MY HEAD &amp; MY HEART,12
18,03/28/2021,19,ELLA HENDERSON &amp; TOM GRENNAN,LET'S GO HOME TOGETHER,5
19,03/28/2021,20,SHANE CODD,GET OUT MY HEAD,21
20,03/28/2021,21,OLIVIA RODRIGO,DRIVERS LICENSE,11
21,03/28/2021,22,SILK SONIC/BRUNO MARS/PAAK,LEAVE THE DOOR OPEN,3
22,03/28/2021,23,MASKED WOLF,ASTRONAUT IN THE OCEAN,7
23,03/28/2021,24,JUSTIN BIEBER FT KHALID,AS I AM,1
24,03/28/2021,25,GLASS ANIMALS,HEAT WAVES,19
25,03/28/2021,26,CENTRAL CEE,6 FOR 6,2
26,03/28/2021,27,NAVOS,BELIEVE ME,7
27,03/28/2021,28,KID LAROI,WITHOUT YOU,19
28,03/28/2021,29,DUA LIPA,WE'RE GOOD,6
29,03/28/2021,30,D-BLOCK EUROPE/RAYE,FERRARI HORSES,4
30,03/28/2021,31,RAG'N'BONE MAN,ALL YOU EVER WANTED,7
31,03/28/2021,32,DRAKE,WHAT'S NEXT,3
32,03/28/2021,33,DRAKE FT RICK ROSS,LEMON PEPPER FREESTYLE,3
33,03/28/2021,34,WEEKND,BLINDING LIGHTS,69
34,03/28/2021,35,JOEL CORRY FT MNEK,HEAD &amp; HEART,38
35,03/28/2021,36,DUA LIPA,LEVITATING,30
36,03/28/2021,37,DUNCAN LAURENCE,ARCADE,12
37,03/28/2021,38,MEDUZA FT DERMOT KENNEDY,PARADISE,21
38,03/28/2021,39,GRIFF,BLACK HOLE,1
39,03/28/2021,40,LIL TJAY/POLO G/FIVIO FOREIGN,HEADSHOT,1
40,03/28/2021,41,DIGGA D &amp; AJ TRACEY,BRINGING IT BACK,7
41,03/28/2021,42,GIVEON,HEARTBREAK ANNIVERSARY,4
42,03/28/2021,43,JAMES ARTHUR,MEDICINE,3
43,03/28/2021,44,DRAKE FT LIL BABY,WANTS AND NEEDS,3
44,03/28/2021,45,FREDO FT DAVE,MONEY TALKS,8
45,03/28/2021,46,SAWEETIE FT DOJA CAT,BEST FRIEND,11
46,03/28/2021,47,KALI UCHIS,TELEPATIA,5
47,03/28/2021,48,TOM ZANETTI,DIDN'T KNOW,5
48,03/28/2021,49,MAJESTIC &amp; BONEY M,RASPUTIN,3
49,03/28/2021,50,LITTLE MIX,SWEET MELODY,22
50,03/28/2021,51,LANA DEL REY,WHITE DRESS,1
51,03/28/2021,52,CENTRAL CEE,DAY IN THE LIFE,3
52,03/28/2021,53,FREDO FT SUMMER WALKER,READY,8
53,03/28/2021,54,24KGOLDN FT IANN DIOR,MOOD,32
54,03/28/2021,55,POLO G,MARTIN &amp; GINA,24
55,03/28/2021,56,LEWIS CAPALDI,SOMEONE YOU LOVED,113
56,03/28/2021,57,YUNG BLEU FT DRAKE,YOU'RE MINES STILL,15
